Disease Name,TreeNumber
Agammaglobulinemia,C15.378.147.142
Agammaglobulinemia,C15.604.515.032
Agammaglobulinemia,C20.673.088
Ageusia,C10.597.751.861.184
Ageusia,C23.888.592.763.861.184
Agnosia,C10.597.606.762.100
Agnosia,C23.888.592.604.764.100
Agranulocytosis,C15.378.243.750.184
Agranulocytosis,C15.378.553.546.184
Agraphia,C10.597.606.150.500.050
Agraphia,C10.597.606.150.550.700.125
Agraphia,C23.888.592.604.150.500.050
Agraphia,C23.888.592.604.150.550.700.125
Agricultural Workers' Diseases,C24.080
AIDS-Related Complex,C01.221.250.875.080
AIDS-Related Complex,C01.221.812.640.400.080
AIDS-Related Complex,C01.778.640.400.080
AIDS-Related Complex,C01.925.782.815.616.400.080
AIDS-Related Complex,C01.925.813.400.080
AIDS-Related Complex,C01.925.839.080
AIDS-Related Complex,C12.100.937.640.400.080
AIDS-Related Complex,C20.673.480.080
Ainhum,C05.116.264.143
Airway Obstruction,C08.618.846.185
Akinetic Mutism,C10.228.140.042
Albinism,C11.270.040
Albinism,C16.320.290.040
Albinism,C16.320.565.100.102
Albinism,C16.320.850.080
Albinism,C17.800.621.440.102
Albinism,C17.800.827.080
Albinism,C18.452.648.100.102
Albuminuria,C12.050.351.968.934.734.269
Albuminuria,C12.200.777.934.734.269
Albuminuria,C12.950.934.734.269
Albuminuria,C23.888.942.750.269
Alcohol Amnestic Disorder,C10.720.112.100
Alcohol Amnestic Disorder,C25.723.705.150.100
Alcohol Amnestic Disorder,C25.775.100.087.193.100
Alcohol Withdrawal Delirium,C10.720.112.200
Alcohol Withdrawal Delirium,C25.723.705.150.200
Alcohol Withdrawal Delirium,C25.775.100.087.193.200
Alcohol Withdrawal Delirium,C25.775.835.250
Alcoholic Intoxication,C25.775.100.175
Alcoholism,C25.775.100.250
Aleutian Mink Disease,C01.925.256.700.091
Aleutian Mink Disease,C01.925.839.091
Aleutian Mink Disease,C11.270.040.772.270
Aleutian Mink Disease,C20.673.774.257.270
Aleutian Mink Disease,C22.062
Alkalosis,C18.452.076.354
"Alkalosis, Respiratory",C08.618.501.271
"Alkalosis, Respiratory",C18.452.076.354.271
Alkaptonuria,C16.320.565.100.187
Alkaptonuria,C18.452.648.100.187
Alopecia,C17.800.329.937.122
Alopecia,C23.300.035
Alopecia Areata,C17.800.329.937.122.147
"Mucinosis, Follicular",C17.300.550.550
"Mucinosis, Follicular",C17.800.329.937.122.550
"Mucinosis, Follicular",C17.800.794.550
Altitude Sickness,C08.618.020
"Alveolitis, Extrinsic Allergic",C08.381.483.125
"Alveolitis, Extrinsic Allergic",C08.674.055
"Alveolitis, Extrinsic Allergic",C20.543.480.680.075
Alzheimer Disease,C10.228.140.380.100
Alzheimer Disease,C10.574.945.249
Amblyopia,C10.228.140.055
Amblyopia,C10.597.751.941.073
Amblyopia,C11.966.073
Amblyopia,C23.888.592.763.941.073
Amebiasis,C01.610.752.049
Ameloblastoma,C04.557.695.065
Amelogenesis Imperfecta,C07.650.800.295.250
Amelogenesis Imperfecta,C07.793.700.295.250
Amelogenesis Imperfecta,C16.131.850.800.295.250
Amenorrhea,C23.550.568.500
"Amino Acid Metabolism, Inborn Errors",C16.320.565.100
"Amino Acid Metabolism, Inborn Errors",C18.452.648.100
Renal Aminoacidurias,C12.050.351.968.419.815.885
Renal Aminoacidurias,C12.200.777.419.815.885
Renal Aminoacidurias,C12.950.419.815.885
Renal Aminoacidurias,C16.320.831.885
Amnesia,C10.597.606.525.100
Amnesia,C23.888.592.604.529.100
"Amnesia, Retrograde",C10.597.606.525.100.150
"Amnesia, Retrograde",C23.888.592.604.529.100.150
Amniotic Band Syndrome,C16.614.042
"Amputation, Traumatic",C26.062
Amyloidosis,C18.452.845.500
Amyotrophic Lateral Sclerosis,C10.228.854.139
Amyotrophic Lateral Sclerosis,C10.574.562.250
Amyotrophic Lateral Sclerosis,C10.574.950.050
Amyotrophic Lateral Sclerosis,C10.668.467.250
Amyotrophic Lateral Sclerosis,C18.452.845.800.050
Anal Gland Neoplasms,C04.588.083
Anal Gland Neoplasms,C04.588.274.476.411.307.790.040.040
Anal Gland Neoplasms,C06.301.371.411.307.790.040.040
Anal Gland Neoplasms,C06.405.249.411.307.790.040.040
Anal Gland Neoplasms,C06.405.469.491.307.790.040.040
Anal Gland Neoplasms,C06.405.469.860.101.163.083
Anal Gland Neoplasms,C06.405.469.860.180.500.040.040
Anal Gland Neoplasms,C22.073
"Pain Insensitivity, Congenital",C10.668.829.700
"Pain Insensitivity, Congenital",C16.320.775
Anaphylaxis,C20.543.480.099
Anaplasia,C04.697.045
Anaplasia,C23.550.727.045
Anaplasmataceae Infections,C01.150.252.400.054
Anaplasmosis,C01.150.252.400.054.500
Anaplasmosis,C01.920.930.163
Anaplasmosis,C22.085
Ancylostomiasis,C01.610.335.508.700.775.455.154
Anemia,C15.378.050
"Anemia, Aplastic",C15.378.050.085
"Anemia, Aplastic",C15.378.190.223.250
"Anemia, Dyserythropoietic, Congenital",C15.378.050.141.150.095
"Anemia, Dyserythropoietic, Congenital",C16.320.070.095
"Anemia, Hemolytic",C15.378.050.141
"Anemia, Hemolytic, Autoimmune",C15.378.050.141.125
"Anemia, Hemolytic, Autoimmune",C20.111.175
"Anemia, Hemolytic, Congenital",C15.378.050.141.150
"Anemia, Hemolytic, Congenital",C16.320.070
"Anemia, Hemolytic, Congenital Nonspherocytic",C15.378.050.141.150.100
"Anemia, Hemolytic, Congenital Nonspherocytic",C16.320.070.100
"Anemia, Hypochromic",C15.378.050.196
"Anemia, Macrocytic",C15.378.050.252
"Anemia, Megaloblastic",C15.378.050.252.196
"Anemia, Myelophthisic",C15.378.050.307
"Anemia, Myelophthisic",C15.378.190.636.085
"Anemia, Neonatal",C15.378.050.363
"Anemia, Neonatal",C16.614.053
"Anemia, Pernicious",C15.378.050.252.196.500
"Anemia, Pernicious",C18.654.521.500.133.699.923.280
"Anemia, Refractory",C15.378.050.400
"Anemia, Refractory",C15.378.190.625.062
"Anemia, Refractory, with Excess of Blasts",C15.378.050.400.080
"Anemia, Refractory, with Excess of Blasts",C15.378.190.625.062.080
"Anemia, Sickle Cell",C15.378.050.141.150.150
"Anemia, Sickle Cell",C15.378.420.155
"Anemia, Sickle Cell",C16.320.070.150
"Anemia, Sickle Cell",C16.320.365.155
"Anemia, Sideroblastic",C15.378.050.419
"Anemia, Sideroblastic",C15.378.190.625.070
Anencephaly,C10.500.680.196
Anencephaly,C16.131.085.197
Anencephaly,C16.131.666.680.196
Aneuploidy,C23.550.210.050
Aneurysm,C14.907.055
Aortic Dissection,C14.907.055.448.250
Aortic Dissection,C14.907.109.070.500
"Aneurysm, Infected",C01.069
"Aneurysm, Infected",C14.907.055.131
Angina Pectoris,C14.280.647.187
Angina Pectoris,C14.907.585.187
Angina Pectoris,C23.888.592.612.233.500
"Angina Pectoris, Variant",C14.280.647.187.150.150
"Angina Pectoris, Variant",C14.907.585.187.150.500
"Angina Pectoris, Variant",C23.888.592.612.233.500.150.150
"Angina, Unstable",C14.280.647.187.150
"Angina, Unstable",C14.907.585.187.150
"Angina, Unstable",C23.888.592.612.233.500.150
Angioid Streaks,C11.768.094
Angiokeratoma,C04.557.645.115
Fabry Disease,C10.228.140.163.100.435.825.200
Fabry Disease,C10.228.140.300.275.374
Fabry Disease,C14.907.253.329.374
Fabry Disease,C16.320.322.124
Fabry Disease,C16.320.565.189.435.825.200
Fabry Disease,C16.320.565.398.641.803.300
Fabry Disease,C16.320.565.595.554.825.200
Fabry Disease,C18.452.132.100.435.825.200
Fabry Disease,C18.452.584.563.641.803.300
Fabry Disease,C18.452.648.189.435.825.200
Fabry Disease,C18.452.648.398.641.803.300
Fabry Disease,C18.452.648.595.554.825.200
Angiolymphoid Hyperplasia with Eosinophilia,C15.378.553.231.085
Angiolymphoid Hyperplasia with Eosinophilia,C15.604.515.292.007
Angiolymphoid Hyperplasia with Eosinophilia,C17.800.060
Angiomatosis,C14.907.077
Angioedema,C14.907.079
Angioedema,C17.800.862.945.066
Angioedema,C20.543.480.904.066
Animal Diseases,C22
Aniseikonia,C11.744.116
Ankylosis,C05.550.069
Anodontia,C07.650.800.100
Anodontia,C07.793.700.100
Anodontia,C16.131.850.800.100
Anomia,C10.597.606.150.500.090
Anomia,C23.888.592.604.150.500.090
Anophthalmos,C11.250.080
Anophthalmos,C16.131.384.159
Anorexia,C23.888.821.108
Olfaction Disorders,C10.597.751.600
Olfaction Disorders,C23.888.592.763.550
Anovulation,C12.050.351.500.056.630.050
Anovulation,C12.100.250.056.630.050
Anovulation,C19.391.630.050
Hypoxia,C23.888.852.079
Anterior Compartment Syndrome,C05.651.180.063
Anterior Compartment Syndrome,C14.907.303.063
Anthracosilicosis,C08.381.483.581.062.500
Anthracosilicosis,C08.381.483.581.760.125
Anthracosilicosis,C08.381.520.702.062.500
Anthracosilicosis,C08.381.520.702.760.125
Anthracosilicosis,C24.800.834.201
Anthrax,C01.150.252.410.090.072
Anuria,C12.050.351.968.419.078
Anuria,C12.050.351.968.934.070
Anuria,C12.200.777.419.078
Anuria,C12.200.777.934.141
Anuria,C12.950.419.078
Anuria,C12.950.934.070
Anus Diseases,C06.405.469.860.101
Anus Neoplasms,C04.588.274.476.411.307.790.040
Anus Neoplasms,C06.301.371.411.307.790.040
Anus Neoplasms,C06.405.249.411.307.790.040
Anus Neoplasms,C06.405.469.491.307.790.040
Anus Neoplasms,C06.405.469.860.101.163
Anus Neoplasms,C06.405.469.860.180.500.040
"Anus, Imperforate",C06.198.050
"Anus, Imperforate",C16.131.314.094
Aortic Aneurysm,C14.907.055.239
Aortic Aneurysm,C14.907.109.139
Aortic Arch Syndromes,C14.907.109.239
Aortic Coarctation,C14.240.400.090
Aortic Coarctation,C14.280.400.090
Aortic Coarctation,C16.131.240.400.090
Aortic Diseases,C14.907.109
Aortic Rupture,C14.907.055.185.125
Aortic Rupture,C14.907.055.239.175
Aortic Rupture,C14.907.109.139.175
Aortic Rupture,C26.761.125
"Aortic Stenosis, Subvalvular",C14.280.484.048.750.070
"Aortic Stenosis, Subvalvular",C14.280.955.249.070
Aortic Valve Insufficiency,C14.280.484.048.500
Aortic Valve Prolapse,C14.280.484.048.625
Aortic Valve Prolapse,C14.280.484.400.100
Aortic Valve Stenosis,C14.280.484.048.750
Aortic Valve Stenosis,C14.280.955.249
Aortitis,C14.907.109.320
Aortitis,C14.907.940.080
Aortopulmonary Septal Defect,C14.240.400.560.098
Aortopulmonary Septal Defect,C14.280.400.560.098
Aortopulmonary Septal Defect,C16.131.240.400.560.098
Aphakia,C11.510.103
"Aphakia, Postcataract",C11.510.103.110
Aphasia,C10.597.606.150.500.800.100
Aphasia,C23.888.592.604.150.500.800.100
"Aphasia, Broca",C10.597.606.150.500.800.100.100
"Aphasia, Broca",C23.888.592.604.150.500.800.100.100
"Aphasia, Wernicke",C10.597.606.150.500.800.100.166
"Aphasia, Wernicke",C23.888.592.604.150.500.800.100.166
Aphonia,C08.360.940.160
Aphonia,C09.400.940.160
Aphonia,C10.597.975.100
Aphonia,C23.888.592.979.100
Apnea,C08.618.085
Apnea,C23.888.852.130
Appendiceal Neoplasms,C04.588.274.476.411.184.290
Appendiceal Neoplasms,C06.301.371.411.184.290
Appendiceal Neoplasms,C06.405.249.411.184.290
Appendiceal Neoplasms,C06.405.469.110.417.290
Appendiceal Neoplasms,C06.405.469.491.184.290
Appendicitis,C01.463.099
Appendicitis,C06.405.205.099
Appendicitis,C06.405.469.110.207
Feeding and Eating Disorders,C23.888.821.329
Apraxias,C10.597.606.881.350
Apraxias,C23.888.592.604.882.350
Apudoma,C04.557.465.625.650.135
Apudoma,C04.557.470.035.250
Apudoma,C04.557.580.625.650.135
Spider Bites,C25.723.127.723
Spider Bites,C26.176.790
Arachnoiditis,C10.586.625.097
Arbovirus Infections,C01.920.313
Arbovirus Infections,C01.925.081
Arcus Senilis,C11.204.299.070
Arenaviridae Infections,C01.925.782.082
Argyria,C17.800.621.166
Argyria,C25.723.522.313
Arm Injuries,C26.088
Arnold-Chiari Malformation,C10.500.680.291
Arnold-Chiari Malformation,C16.131.666.680.291
"Arrhythmias, Cardiac",C14.280.067
"Arrhythmias, Cardiac",C23.550.073
"Arrhythmia, Sinus",C14.280.067.093
"Arrhythmia, Sinus",C23.550.073.093
Arterial Occlusive Diseases,C14.907.137
Arterio-Arterial Fistula,C14.240.850.984.500
Arterio-Arterial Fistula,C14.907.933.110
Arterio-Arterial Fistula,C16.131.240.850.500
Arterio-Arterial Fistula,C23.300.575.950.150
Arteriosclerosis,C14.907.137.126
Arteriosclerosis Obliterans,C14.907.137.126.114
Arteriovenous Fistula,C14.240.850.750.147
Arteriovenous Fistula,C14.240.850.984.750
Arteriovenous Fistula,C14.907.150.125
Arteriovenous Fistula,C14.907.933.555
Arteriovenous Fistula,C16.131.240.850.750.125
Arteriovenous Fistula,C23.300.575.950.250
Arteriovenous Malformations,C14.240.850.750
Arteriovenous Malformations,C14.907.150
Arteriovenous Malformations,C16.131.240.850.750
Arteritis,C14.907.940.090
Arthritis,C05.550.114
"Arthritis, Experimental",C05.550.114.015
"Arthritis, Infectious",C01.100
"Arthritis, Infectious",C05.550.114.099
"Arthritis, Juvenile",C05.550.114.122
"Arthritis, Juvenile",C05.799.056
"Arthritis, Juvenile",C17.300.775.049
"Arthritis, Juvenile",C20.111.198
"Arthritis, Rheumatoid",C05.550.114.154
"Arthritis, Rheumatoid",C05.799.114
"Arthritis, Rheumatoid",C17.300.775.099
"Arthritis, Rheumatoid",C20.111.199
Arthrogryposis,C05.550.150
Arthrogryposis,C05.651.102
Arthrogryposis,C05.660.077
Arthrogryposis,C16.131.621.077
"Arthropathy, Neurogenic",C05.550.186
Arthus Reaction,C20.543.520.175
Articulation Disorders,C10.597.606.150.500.800.150
Articulation Disorders,C23.888.592.604.150.500.800.150
Asbestosis,C08.381.483.581.125
Asbestosis,C08.381.520.702.125
Asbestosis,C24.800.127
Ascariasis,C01.610.335.508.700.100.070
Ascaridiasis,C01.610.335.508.700.100.080
Ascites,C23.550.081
Ascorbic Acid Deficiency,C18.654.521.500.133.115
Aspergillosis,C01.150.703.080
"Aspergillosis, Allergic Bronchopulmonary",C01.150.703.080.768.500
"Aspergillosis, Allergic Bronchopulmonary",C01.150.703.534.850.500
"Aspergillosis, Allergic Bronchopulmonary",C01.748.435.090
"Aspergillosis, Allergic Bronchopulmonary",C08.381.472.850.500
"Aspergillosis, Allergic Bronchopulmonary",C08.674.060
"Aspergillosis, Allergic Bronchopulmonary",C08.730.435.090
"Aspergillosis, Allergic Bronchopulmonary",C20.543.480.680.085
Asphyxia,C23.550.260.095
Asphyxia,C26.103
Asphyxia Neonatorum,C16.614.092
Asthenia,C23.888.089
Asthenopia,C11.093
Asthma,C08.127.108
Asthma,C08.381.495.108
Asthma,C08.674.095
Asthma,C20.543.480.680.095
"Asthma, Exercise-Induced",C08.127.108.110
"Asthma, Exercise-Induced",C08.674.095.110
"Asthma, Exercise-Induced",C20.543.480.363.500
"Asthma, Exercise-Induced",C20.543.480.680.095.110
Astigmatism,C11.744.212
Astrocytoma,C04.557.465.625.600.380.080
Astrocytoma,C04.557.470.670.380.080
Astrocytoma,C04.557.580.625.600.380.080
Ataxia,C10.597.350.090
Ataxia,C23.888.592.350.090
Ataxia Telangiectasia,C10.228.140.252.190.530.060
Ataxia Telangiectasia,C10.562.100
Ataxia Telangiectasia,C10.597.350.090.500.530.060
Ataxia Telangiectasia,C14.907.823.213
Ataxia Telangiectasia,C16.320.080
Ataxia Telangiectasia,C16.320.798.250
Ataxia Telangiectasia,C18.452.284.060
Ataxia Telangiectasia,C20.673.795.250
Pulmonary Atelectasis,C08.381.730
Athetosis,C10.597.350.110
Athetosis,C23.888.592.350.110
Athletic Injuries,C26.115
Atrial Fibrillation,C14.280.067.198
Atrial Fibrillation,C23.550.073.198
Atrial Flutter,C14.280.067.248
Atrial Flutter,C23.550.073.248
Atrophy,C23.300.070
"Auditory Diseases, Central",C09.218.807.186
"Auditory Diseases, Central",C10.228.140.068
Auditory Perceptual Disorders,C09.218.807.186.094
Auditory Perceptual Disorders,C10.228.140.068.094
Auditory Perceptual Disorders,C10.597.606.762.200
Auditory Perceptual Disorders,C23.888.592.604.764.200
Autoimmune Diseases,C20.111
Autolysis,C23.550.260.224.617.236
Autonomic Nervous System Diseases,C10.177
Avian Leukosis,C01.925.782.815.096
Avian Leukosis,C01.925.928.120
Avian Leukosis,C04.557.337.372.216
Avian Leukosis,C04.619.531.216
Avian Leukosis,C15.378.508.372.216
Avian Leukosis,C22.131.094
"Sarcoma, Avian",C01.925.782.815.800
"Sarcoma, Avian",C01.925.928.800
"Sarcoma, Avian",C04.557.450.795.830.800
"Sarcoma, Avian",C04.619.857.800
"Sarcoma, Avian",C22.131.800
Avitaminosis,C18.654.521.500.133
Babesiosis,C01.610.701.688.122
Babesiosis,C01.610.752.075
Babesiosis,C01.610.752.625.122
Babesiosis,C01.920.930.182
Babesiosis,C22.674.710.122
Back Pain,C23.888.592.612.107
Bacterial Infections and Mycoses,C01.150
Bacterial Infections,C01.150.252
Bacteriuria,C01.915.219
Bacteriuria,C12.050.351.968.892.219
Bacteriuria,C12.200.777.892.219
Bacteriuria,C12.950.892.219
Bacteroides Infections,C01.150.252.400.110.109
Balanitis,C12.100.500.494.136
Balanitis,C12.200.294.494.136
Balantidiasis,C01.610.432.146
Balantidiasis,C01.610.752.200.146
Balantidiasis,C06.405.469.452.146
Balkan Nephropathy,C12.050.351.968.419.570.643.150
Balkan Nephropathy,C12.200.777.419.570.643.150
Balkan Nephropathy,C12.950.419.570.643.150
Barotrauma,C26.120
Barrett Esophagus,C04.834.154
Barrett Esophagus,C06.405.117.102
Bartonella Infections,C01.150.252.400.126.100
Bartonellaceae Infections,C01.150.252.400.126
Bartter Syndrome,C12.050.351.968.419.815.279
Bartter Syndrome,C12.200.777.419.815.279
Bartter Syndrome,C12.950.419.815.279
Bartter Syndrome,C19.053.800.604.249
Basal Cell Nevus Syndrome,C04.182.089.530.690.150
Basal Cell Nevus Syndrome,C04.557.470.200.165.150
Basal Cell Nevus Syndrome,C04.557.470.565.165.150
Basal Cell Nevus Syndrome,C04.700.175
Basal Cell Nevus Syndrome,C05.116.099.105
Basal Cell Nevus Syndrome,C05.500.470.690.150
Basal Cell Nevus Syndrome,C07.320.450.670.130
Basal Cell Nevus Syndrome,C16.131.077.130
Basal Cell Nevus Syndrome,C16.320.700.175
Basal Ganglia Diseases,C10.228.140.079
Beckwith-Wiedemann Syndrome,C16.131.077.133
Beckwith-Wiedemann Syndrome,C16.131.260.080
Beckwith-Wiedemann Syndrome,C16.320.180.080
Beckwith-Wiedemann Syndrome,C16.320.447.375
Behcet Syndrome,C07.465.075
Behcet Syndrome,C11.941.879.780.880.200
Behcet Syndrome,C14.907.940.100
Behcet Syndrome,C16.320.382.250
Behcet Syndrome,C17.800.827.368.250
Behcet Syndrome,C17.800.862.150
Beriberi,C18.654.521.500.133.699.827.223
Bernard-Soulier Syndrome,C15.378.100.100.080
Bernard-Soulier Syndrome,C15.378.140.120
Bernard-Soulier Syndrome,C15.378.463.080
Bernard-Soulier Syndrome,C16.320.099.080
Berylliosis,C08.381.483.581.225
Berylliosis,C08.381.520.702.225
Berylliosis,C24.800.225
Bezoars,C26.392.183
Bile Duct Diseases,C06.130.120
Bile Duct Neoplasms,C04.588.274.120.250
Bile Duct Neoplasms,C06.130.120.120
Bile Duct Neoplasms,C06.130.320.120
